1	0.32233
2	0.321497
3	0.32233
4	0.352198
5	0.412198
6	0.734397
7	0.442199
8	0.672199
9	0.704397
10	0.764397
11	0.824397
12	0.672198
13	0.764396
14	0.824396
15	0.824396
16	0.884396
17	0.964396
18	0.794396
19	0.856595
20	0.824397
21	0.884397
22	0.944397
23	0.944397
24	1.0044
25	1.0644
26	1.0644
27	1.1244
28	1.1844
29	1.0744
30	1.1344
31	1.1944
32	1.1622
33	1.2222
34	1.2822
35	1.2822
36	1.3422
37	1.4022
38	1.4022
39	1.4622
40	1.50836
41	1.50836
42	1.56836
43	1.62836
44	1.60836
45	1.66836
46	1.72836
47	1.72836
48	1.78836
49	1.84836
50	1.84616
51	1.90616
52	1.96616
53	1.96616
